Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Task Path,:feature:forecast:kspDebugKotlin,4341,4439,4319,4434,4867,5086,ms
Task Path,:feature:document:compileDebugKotlin,3830,3962,3714,3927,4563,4635,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,4143,4215,4082,4231,4876,4926,ms
Task Path,:feature:file:compileDebugKotlin,3133,3285,3104,3269,3670,3811,ms
Task Path,:feature:forecast:compileDebugKotlin,2475,2344,2374,2318,3099,2733,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2932,2854,2872,2778,3496,3363,ms
Task Path,:feature:list:kspDebugKotlin,3885,3758,3884,3696,4318,4250,ms
Task Path,:feature:media:kspDebugKotlin,3506,3546,3525,3475,3843,4042,ms
Task Path,:feature:metric:kspDebugKotlin,3584,3675,3504,3636,4133,4166,ms
Task Path,:feature:note:kspDebugKotlin,3892,3946,3892,3886,4294,4514,ms
Task Path,:feature:metric:compileDebugKotlin,3057,3047,3049,3068,3517,3528,ms
Task Path,:feature:media:compileDebugKotlin,3285,3368,3227,3317,3828,4084,ms
Task Path,:feature:list:compileDebugKotlin,3700,3842,3672,3766,4227,4453,ms
Task Path,:feature:note:compileDebugKotlin,2394,2347,2349,2232,2819,2855,ms
Task Path,:feature:todo:kspDebugKotlin,3277,3300,3271,3307,3764,3883,ms
Task Path,:feature:status:kspDebugKotlin,3413,3508,3455,3504,3800,4155,ms
Task Path,:feature:video:kspDebugKotlin,3679,3754,3603,3746,4259,4300,ms
Task Path,:feature:alarm:kspDebugKotlin,3807,3866,3701,3843,4339,4321,ms
Task Path,:feature:todo:compileDebugKotlin,2029,1950,2025,1898,2492,2511,ms
Task Path,:feature:status:compileDebugKotlin,3149,3086,3126,3052,3755,3649,ms
Task Path,:feature:video:compileDebugKotlin,2887,2805,2861,2796,3434,3247,ms
Task Path,:feature:alarm:compileDebugKotlin,3610,3398,3545,3343,4216,3983,ms
Task Path,:domain:comment-contact:kspDebugKotlin,3888,3892,3861,3832,4489,4600,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,3749,3732,3675,3667,4189,4227,ms
Task Path,:domain:comment-contact:compileDebugKotlin,4029,3959,4050,3901,4593,4653,ms
Task Path,:domain:cart-contact:kspDebugKotlin,4355,4312,4331,4345,4882,4810,ms
Task Path,:domain:contact-contact:kspDebugKotlin,3513,3434,3516,3320,4005,3899,ms
Task Path,:domain:cart-contact:compileDebugKotlin,3258,3163,3224,3029,3826,3916,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,3390,3464,3384,3371,3820,4155,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2474,2528,2471,2552,2845,2969,ms
Task Path,:domain:feed-contact:kspDebugKotlin,3195,3266,3175,3179,3679,3909,ms
Task Path,:domain:feed-contact:compileDebugKotlin,2077,2164,2063,2128,2435,2648,ms
Task Path,:domain:identity-contact:kspDebugKotlin,3285,3256,3199,3218,3716,3797,ms
Task Path,:domain:group-contact:kspDebugKotlin,3782,3782,3733,3729,4558,4340,ms
Task Path,:domain:location-contact:kspDebugKotlin,3751,3765,3733,3796,4198,4239,ms
Task Path,:domain:identity-contact:compileDebugKotlin,1823,1760,1738,1721,2399,2130,ms
Task Path,:domain:login-contact:kspDebugKotlin,3969,3947,3943,3922,4493,4392,ms
Task Path,:domain:group-contact:compileDebugKotlin,3834,3723,3849,3715,4467,4287,ms
Task Path,:domain:location-contact:compileDebugKotlin,3393,3368,3385,3362,3766,3955,ms
Task Path,:domain:message-contact:kspDebugKotlin,3144,3071,3140,3078,3648,3514,ms
Task Path,:domain:login-contact:compileDebugKotlin,3651,3691,3633,3602,4215,4355,ms
Task Path,:domain:message-contact:compileDebugKotlin,1797,1855,1763,1855,2184,2219,ms
Task Path,:domain:network-contact:kspDebugKotlin,3074,3164,3061,3206,3481,3604,ms
Task Path,:domain:notification-contact:kspDebugKotlin,3572,3567,3520,3593,4057,3950,ms
Task Path,:domain:network-contact:compileDebugKotlin,2047,1976,1967,1929,2401,2319,ms
Task Path,:domain:playlist:kspDebugKotlin,3117,3140,3066,3109,3530,3558,ms
Task Path,:domain:post-contact:kspDebugKotlin,3786,3786,3761,3759,4284,4409,ms
Task Path,:domain:notification-contact:compileDebugKotlin,3001,3061,2928,3059,3620,3443,ms
Task Path,:domain:playlist:compileDebugKotlin,2012,2035,1947,1940,2412,2450,ms
Task Path,:domain:profile-contact:kspDebugKotlin,3311,3401,3260,3343,3815,3914,ms
Task Path,:domain:post-contact:compileDebugKotlin,1993,2029,1966,1961,2423,2515,ms
